ADC_Value,mV_Value
-1,-0.19
-1,-0.19
-2,-0.37
-2,-0.37
-3,-0.56
-3,-0.56
1,0.19
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
0,0.00
-1,-0.19
-1,-0.19
-2,-0.37
1,0.19
-2,-0.37
0,0.00
1,0.19
1,0.19
-1,-0.19
-1,-0.19
-1,-0.19
-3,-0.56
-3,-0.56
-1,-0.19
1,0.19
0,0.00
2,0.37
-6,-1.12
0,0.00
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-3,-0.56
-1,-0.19
-1,-0.19
0,0.00
0,0.00
-1,-0.19
1,0.19
1,0.19
-3,-0.56
1,0.19
-2,-0.37
-1,-0.19
-2,-0.37
0,0.00
-2,-0.37
-4,-0.75
0,0.00
0,0.00
-2,-0.37
0,0.00
-3,-0.56
-1,-0.19
-1,-0.19
0,0.00
-2,-0.37
-2,-0.37
1,0.19
-1,-0.19
0,0.00
1,0.19
-1,-0.19
0,0.00
-2,-0.37
-2,-0.37
-2,-0.37
-4,-0.75
-1,-0.19
-5,-0.94
1,0.19
-3,-0.56
-1,-0.19
-3,-0.56
-1,-0.19
-3,-0.56
-4,-0.75
2,0.37
-1,-0.19
-3,-0.56
1,0.19
0,0.00
-3,-0.56
0,0.00
0,0.00
-1,-0.19
-2,-0.37
-3,-0.56
-1,-0.19
0,0.00
1,0.19
-1,-0.19
-2,-0.37
0,0.00
-1,-0.19
0,0.00
-4,-0.75
-2,-0.37
0,0.00
-2,-0.37
-1,-0.19
-2,-0.37
-3,-0.56
0,0.00
-1,-0.19
-4,-0.75
-1,-0.19
-1,-0.19
-2,-0.37
2,0.37
-1,-0.19
0,0.00
-1,-0.19
-3,-0.56
0,0.00
1,0.19
-2,-0.37
-2,-0.37
-1,-0.19
-1,-0.19
-1,-0.19
-3,-0.56
-1,-0.19
-1,-0.19
0,0.00
0,0.00
1,0.19
-3,-0.56
0,0.00
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
-1,-0.19
0,0.00
-3,-0.56
-2,-0.37
-1,-0.19
-3,-0.56
-2,-0.37
-1,-0.19
-1,-0.19
-4,-0.75
0,0.00
-3,-0.56
-1,-0.19
-2,-0.37
-1,-0.19
-3,-0.56
-1,-0.19
-2,-0.37
-4,-0.75
1,0.19
-2,-0.37
0,0.00
-4,-0.75
-1,-0.19
-1,-0.19
-2,-0.37
0,0.00
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
-1,-0.19
-1,-0.19
0,0.00
1,0.19
0,0.00
-3,-0.56
-2,-0.37
-1,-0.19
1,0.19
-1,-0.19
-2,-0.37
1,0.19
0,0.00
-3,-0.56
-3,-0.56
-1,-0.19
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
0,0.00
-2,-0.37
0,0.00
0,0.00
1,0.19
-1,-0.19
-2,-0.37
-1,-0.19
-2,-0.37
0,0.00
-2,-0.37
-1,-0.19
-3,-0.56
-3,-0.56
0,0.00
-2,-0.37
-2,-0.37
-4,-0.75
-1,-0.19
-2,-0.37
2,0.37
0,0.00
-3,-0.56
-4,-0.75
0,0.00
1,0.19
-2,-0.37
0,0.00
-1,-0.19
-3,-0.56
1,0.19
0,0.00
-1,-0.19
-2,-0.37
0,0.00
-3,-0.56
-2,-0.37
-1,-0.19
-2,-0.37
-4,-0.75
-3,-0.56
-2,-0.37
0,0.00
-4,-0.75
-1,-0.19
-4,-0.75
0,0.00
-3,-0.56
2,0.37
0,0.00
-3,-0.56
0,0.00
-2,-0.37
1,0.19
-5,-0.94
-2,-0.37
3,0.56
0,0.00
-3,-0.56
-4,-0.75
1,0.19
-6,-1.12
1,0.19
-1,-0.19
-3,-0.56
0,0.00
0,0.00
-2,-0.37
1,0.19
-1,-0.19
1,0.19
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
-1,-0.19
-2,-0.37
-2,-0.37
-2,-0.37
-1,-0.19
-1,-0.19
1,0.19
-1,-0.19
-1,-0.19
-5,-0.94
-3,-0.56
1,0.19
0,0.00
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-2,-0.37
0,0.00
-2,-0.37
-3,-0.56
1,0.19
-1,-0.19
-1,-0.19
-1,-0.19
-1,-0.19
-1,-0.19
-3,-0.56
-1,-0.19
-2,-0.37
0,0.00
-3,-0.56
0,0.00
-4,-0.75
-1,-0.19
-3,-0.56
-3,-0.56
-3,-0.56
-3,-0.56
-1,-0.19
-1,-0.19
-3,-0.56
-2,-0.37
-2,-0.37
-3,-0.56
0,0.00
0,0.00
1,0.19
1,0.19
0,0.00
0,0.00
1,0.19
-1,-0.19
1,0.19
0,0.00
1,0.19
1,0.19
1,0.19
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
-2,-0.37
0,0.00
-1,-0.19
-5,-0.94
1,0.19
-4,-0.75
1,0.19
-2,-0.37
-1,-0.19
0,0.00
-3,-0.56
-2,-0.37
2,0.37
-1,-0.19
-1,-0.19
0,0.00
-1,-0.19
-2,-0.37
2,0.37
0,0.00
1,0.19
-3,-0.56
0,0.00
-1,-0.19
-3,-0.56
-2,-0.37
-4,-0.75
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-2,-0.37
-3,-0.56
0,0.00
-1,-0.19
-2,-0.37
-3,-0.56
-2,-0.37
-1,-0.19
-3,-0.56
0,0.00
-2,-0.37
1,0.19
-1,-0.19
-2,-0.37
-3,-0.56
-3,-0.56
0,0.00
-2,-0.37
-4,-0.75
-1,-0.19
-2,-0.37
1,0.19
-1,-0.19
-1,-0.19
0,0.00
0,0.00
0,0.00
-2,-0.37
-1,-0.19
0,0.00
-3,-0.56
0,0.00
-1,-0.19
0,0.00
1,0.19
-3,-0.56
-2,-0.37
-1,-0.19
-2,-0.37
-2,-0.37
-2,-0.37
-2,-0.37
-3,-0.56
-1,-0.19
-3,-0.56
-2,-0.37
-1,-0.19
-3,-0.56
0,0.00
-4,-0.75
-1,-0.19
0,0.00
1,0.19
-2,-0.37
-3,-0.56
-1,-0.19
-2,-0.37
-1,-0.19
0,0.00
-3,-0.56
-3,-0.56
-3,-0.56
-3,-0.56
-4,-0.75
-1,-0.19
0,0.00
-3,-0.56
-2,-0.37
0,0.00
-2,-0.37
0,0.00
-3,-0.56
-3,-0.56
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
-1,-0.19
1,0.19
0,0.00
-3,-0.56
-2,-0.37
0,0.00
-3,-0.56
-1,-0.19
-1,-0.19
-2,-0.37
1,0.19
1,0.19
0,0.00
-2,-0.37
-1,-0.19
-1,-0.19
0,0.00
-2,-0.37
1,0.19
-2,-0.37
-1,-0.19
0,0.00
-2,-0.37
-3,-0.56
-1,-0.19
-2,-0.37
-2,-0.37
-4,-0.75
-2,-0.37
-1,-0.19
-1,-0.19
-4,-0.75
-1,-0.19
-1,-0.19
0,0.00
-1,-0.19
1,0.19
-1,-0.19
-1,-0.19
-1,-0.19
0,0.00
-4,-0.75
-1,-0.19
0,0.00
-2,-0.37
-2,-0.37
0,0.00
-3,-0.56
-1,-0.19
-2,-0.37
-2,-0.37
-2,-0.37
-1,-0.19
-3,-0.56
1,0.19
-1,-0.19
0,0.00
-1,-0.19
0,0.00
3,0.56
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
-1,-0.19
-3,-0.56
-1,-0.19
-1,-0.19
-1,-0.19
-2,-0.37
0,0.00
-2,-0.37
-2,-0.37
-2,-0.37
-2,-0.37
0,0.00
-1,-0.19
-2,-0.37
-2,-0.37
0,0.00
0,0.00
0,0.00
-1,-0.19
-3,-0.56
-3,-0.56
0,0.00
-3,-0.56
-3,-0.56
1,0.19
0,0.00
-2,-0.37
-4,-0.75
0,0.00
-1,-0.19
-5,-0.94
-3,-0.56
-2,-0.37
1,0.19
-1,-0.19
-1,-0.19
-3,-0.56
1,0.19
-3,-0.56
-1,-0.19
1,0.19
-2,-0.37
1,0.19
-2,-0.37
-1,-0.19
1,0.19
-2,-0.37
-1,-0.19
-3,-0.56
-1,-0.19
-4,-0.75
-1,-0.19
-1,-0.19
-3,-0.56
-2,-0.37
-2,-0.37
0,0.00
-2,-0.37
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
0,0.00
-3,-0.56
-3,-0.56
-3,-0.56
-1,-0.19
-1,-0.19
-1,-0.19
-1,-0.19
0,0.00
-4,-0.75
-4,-0.75
-2,-0.37
-2,-0.37
-3,-0.56
-1,-0.19
-2,-0.37
-2,-0.37
0,0.00
-2,-0.37
-1,-0.19
-3,-0.56
1,0.19
2,0.37
-1,-0.19
1,0.19
-1,-0.19
-2,-0.37
1,0.19
-2,-0.37
-3,-0.56
-1,-0.19
-1,-0.19
-3,-0.56
0,0.00
-1,-0.19
-1,-0.19
-2,-0.37
-2,-0.37
1,0.19
-1,-0.19
0,0.00
2,0.37
1,0.19
0,0.00
0,0.00
-2,-0.37
-1,-0.19
0,0.00
-2,-0.37
0,0.00
-1,-0.19
-1,-0.19
-1,-0.19
-2,-0.37
1,0.19
-1,-0.19
-3,-0.56
0,0.00
-1,-0.19
-3,-0.56
-4,-0.75
-3,-0.56
-2,-0.37
-2,-0.37
0,0.00
-4,-0.75
-1,-0.19
0,0.00
-2,-0.37
-2,-0.37
-2,-0.37
-1,-0.19
-1,-0.19
-2,-0.37
-1,-0.19
-1,-0.19
-2,-0.37
-4,-0.75
-2,-0.37
-3,-0.56
-1,-0.19
-2,-0.37
-3,-0.56
0,0.00
